category,subcategory,question,answer,reasoning,source
Geometry,geometry,"what will be the cost of building a fence around a square plot with area equal to 289 sq ft , if the price per foot of building the fence is rs . 59 ?",4012.0,"import math
n0 = 289.0
n1 = 59.0
t0 = math.sqrt(max(0, n0))
t1 = 4 * t0
answer = n1 * t1
print(answer)",MathQA_Geometry
Geometry,geometry,"the ratio between the perimeter and the width of a rectangle is 5 : 1 . if the area of the rectangle is 150 sq . cm , what is the length of the rectangle ?",15.0,"n0 = 5.0
n1 = 1.0
n2 = 150.0

answer = n2 / 10.0
print(answer)",MathQA_Geometry
Geometry,geometry,the sides of a rectangle are in the ratio 4 : 3 and its area is 972 sq . m find the perimeter of rectangle,126.0,"import math
n0 = 4.0
n1 = 3.0
n2 = 972.0
t0 = n0 * n1
t1 = n2 / t0
t2 = math.sqrt(max(0, t1))
t3 = n0 * t2
t4 = n1 * t2
answer = 2 * (t3 + t4)  # perimetere of rectangle
print(answer)",MathQA_Geometry
Geometry,geometry,"a tailor trims 6 feet from opposite edges of a square piece of cloth , and 5 feet from the other two edges . if 120 square feet of cloth remain , what was the length of a side of the original piece of cloth ?",22.0,"import math
n0 = 6.0
n1 = 5.0
n2 = 120.0
t0 = n0 * 2.0
t1 = n1 * 2.0
t2 = t0 + t1
t3 = t1 * t0
t4 = t2**min(2.0, 5)
t5 = n2 - t3
t6 = t5 * n0
t7 = t6 + t4
t8 = math.sqrt(max(0, t7))
t9 = t2 + t8
answer = t9 / 2.0
print(answer)",MathQA_Geometry
Geometry,geometry,"a circular mat with diameter 18 inches is placed on a square tabletop , each of whose sides is 24 inches long . which of the following is closest to the fraction of the tabletop covered by the mat ?",0.375,"n0 = 18.0
n1 = 24.0
t0 = n0 / 2.0
answer = t0 / n1
print(answer)",MathQA_Geometry
Geometry,geometry,the diagonals of a rhombus are 12 cm and 15 cm . find its area ?,90.0,"n0 = 12.0
n1 = 15.0

answer = n0 * n1 / 2
print(answer)",MathQA_Geometry
Geometry,geometry,"if n is the smallest integer such that 432 times n is the square of an integer , what is the value of n ?",3.0,"n0 = 432.0
t0 = n0 / 2.0
t1 = t0 / 2.0
t2 = t1 / 2.0
t3 = t2 / 2.0
t4 = t3 / 3.0
answer = t4 / 3.0
print(answer)",MathQA_Geometry
Geometry,geometry,ratio between length and breath of a rectangle is 25 : 16 . the area of the rectangle is same with a square whose side is 200 . find the breadth and length of the rectangle ?,160250.0,"import math
n0 = 25.0
n1 = 16.0
n2 = 200.0
t0 = n0 * n1
t1 = n2**2
t2 = t1 / t0
t3 = math.sqrt(max(0, t2))
t4 = n1 * t3
t5 = n0 * t3
t6 = t4 * 1000.0
answer = t6 + t5
print(answer)",MathQA_Geometry
Geometry,geometry,"a perfect square is defined as the square of an integer and a perfect cube is defined as the cube of an integer . how many positive integers n are there such that n is less than 100,000 and at the same time n is a perfect square and a perfect cube ?",6.0,"n0 = 100000.0
t0 = 2.0 + 4.0
answer = t0 / 1.0
print(answer)",MathQA_Geometry
Geometry,geometry,"in measuring the sides of a rectangle , one side is taken 12 % in excess and other 5 % in deficit . find the error percentage in the area calculated from these measurements .",6.4,"n0 = 12.0
n1 = 5.0
t0 = n0 * n1
t1 = n0 - n1
t2 = t0 / 100.0
answer = t1 - t2
print(answer)",MathQA_Geometry
Geometry,geometry,"the percentage increase in the area of a rectangle , if each of its sides is increased by 20 % is :",43.99999999999999,"n0 = 20.0
t0 = n0 + 100.0
t1 = t0 / 100.0
t2 = t1 * t1
t3 = t2 - 1.0
answer = t3 * 100.0
print(answer)",MathQA_Geometry
Geometry,geometry,find the circumference and area of radius 8 cm .,201.0619298297468,"import math
n0 = 8.0

answer = math.pi * n0**2
print(answer)",MathQA_Geometry
Geometry,geometry,"points a , b , and , c have xy - coordinates ( 2,0 ) , ( 8,12 ) , and ( 14,0 ) , respectively . points x , y , and z have xy - coordinates ( 6,0 ) , ( 8,4 ) , and ( 10,0 ) , respectively . what fraction d of the area of triangle abc is the area of triangle xyz ?",0.111111111111111,"n0 = 2.0
n1 = 0.0
n2 = 8.0
n3 = 12.0
n4 = 14.0
n5 = 0.0
n6 = 6.0
n7 = 0.0
n8 = 8.0
n9 = 4.0
n10 = 10.0
n11 = 0.0
t0 = 10.0 + 2.0
t1 = 4.0**min(2.0, 5)
t2 = t1 / 2.0
t3 = t0**min(2.0, 5)
t4 = t3 / 2.0
answer = t2 / t4
print(answer)",MathQA_Geometry
Geometry,geometry,what is the maximum number q of 27 cubic centimetre cubes that can fit in a rectangular box measuring 8 centimetre x 9 centimetre x 12 centimetre ?,24.0,"n0 = 27.0
n1 = 8.0
n2 = 9.0
n3 = 12.0
t0 = 2.0 * 3.0
t1 = n2 * n3 * t0
answer = t1 / n0
print(answer)",MathQA_Geometry
Geometry,geometry,"a circle graph shows how the budget of a certain company was spent : 20 percent for transportation , 9 percent for research and development , 5 percent for utilities , 4 percent for equipment , 2 percent for supplies , and the remainder for salaries . if the area of each sector of the graph is proportional to the percent of the budget it represents , how many degrees of the circle are used to represent salaries ?",216.0,"n0 = 20.0
n1 = 9.0
n2 = 5.0
n3 = 4.0
n4 = 2.0
t0 = n0 + n1
t1 = n2 + t0
t2 = n3 + t1
t3 = n4 + t2
t4 = t3 * 360.0
t5 = t4 / 100.0
answer = 360.0 - t5
print(answer)",MathQA_Geometry
Geometry,geometry,the diameter of a circle is 4 / π . find the circumference of the circle .,8.0,"import math
n0 = 4.0
t0 = n0 / 3.141592653589793
answer = 2 * math.pi * t0
print(answer)",MathQA_Geometry
Geometry,geometry,"the length of a rectangular garden is three times its width . if the area of the rectangular garden is 507 square meters , then what is the width of the rectangular garden ?",13.0,"import math
n0 = 507.0
t0 = n0 / 3.0
answer = math.sqrt(max(0, t0))
print(answer)",MathQA_Geometry
Geometry,geometry,the diagonals of a rhombus are 15 cm and 17 cm . find its area ?,127.5,"n0 = 15.0
n1 = 17.0

answer = n0 * n1 / 2
print(answer)",MathQA_Geometry
Geometry,geometry,the volume of a cube is 343 cc . find its surface .,293.9999999999999,"n0 = 343.0
t0 = n0**(1 / 3)
answer = 6 * t0**2  # surface of a cube
print(answer)",MathQA_Geometry
