category,subcategory,question,answer,reasoning,source
Arithmetic,arithmetic_mixed,0.1*3.0=,0.3,,Math-401
Arithmetic,arithmetic_mixed,88254×26228=,2314725912.0,,Math-401
Arithmetic,arithmetic_mixed,37739*66015=,2491340085.0,,Math-401
Arithmetic,arithmetic_mixed,5^4=,625.0,,Math-401
Arithmetic,arithmetic_mixed,721-847=,-126.0,,Math-401
Arithmetic,arithmetic_mixed,774426524175+721318944497=,1495745468672.0,,Math-401
Arithmetic,arithmetic_mixed,7^4=,2401.0,,Math-401
Arithmetic,sequence_next_term,"Was steht 1964, 3923, 5880, 7835 als nächstes an?",9788.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was kommt als nächstes? 17, 49, 129, 281, 529, 897, 1409?",2089.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was ist der nächste Begriff in -1691, -1690, -1689, -1688?",-1687.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was ist der nächste Term in -1341, -2675, -3997, -5301, -6581, -7831?",-9045.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was ist der nächste Term in 12, 24, 38, 54, 72, 92, 114?",138.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was ist der nächste Begriff in 1070, 4273, 9610, 17081?",26686.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,sequence_next_term,"Was kommt als nächstes? -75, -80, -85, -90?",-95.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_or_sub,Berechnen Sie -13 - 40.103.,-53.103,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_or_sub,"Addieren Sie -18,766737 und -0,5.",-19.266737,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_or_sub,"Was ist -0,3 minus 1991087?",-1991087.3,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_or_sub,Ziehen Sie -1 von -467 ab.,-466.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_or_sub,"Wie groß ist der Abstand zwischen 0,7 und -1843?",1843.7,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_or_sub,Was ist -84217 minus -5?,-84212.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_or_sub,"Was ist 221 take away 0,2?",220.8,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_sub_multiple,0 - (10 - (4 + 5)),-1.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_sub_multiple,0 - 2 - (4 - (-5 + 11)),0.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_sub_multiple,Berechne -7 + (-7 - -2) - -5 - -9.,2.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_sub_multiple,Berechne (3 - (-4 - -3)) + -4.,0.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_sub_multiple,Berechnen Sie 1 - (4 - 8 - -8).,-3.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_sub_multiple,Berechne -8 + 3 - (1 + -4 - 0).,-2.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,add_sub_multiple,Was ist 9 - 2 - 11 - (-1 - 1)?,-2.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div,-6405 geteilt durch -105,61.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div,Berechnen Sie -4450 geteilt durch 178.,-25.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div,263 geteilt durch 1,263.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div,Berechnen Sie -732 geteilt durch 4.,-183.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div,Was ist -44030 geteilt durch -1190?,37.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div,Was ist -546 geteilt durch 6?,-91.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,div,Berechnen Sie -102 geteilt durch 2.,-51.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul,Was ist 5 mal -34?,-170.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul,Was ergibt 427 mal 0?,0.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul,"Was ist 1247 mal 0,5?",623.5,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul,"Berechne 0 * -3,4.",0.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul,-2167 mal 3,-6501.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul,-45 * 66,-2970.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul,"Was ist das Produkt aus 0,3 und -81?",-24.3,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul_div_multiple,Berechne -3*(-3)/(-27)*-15.,5.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul_div_multiple,Was ist (2/16*-4)/((-2)/(-8))?,-2.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul_div_multiple,(-47)/(-188)*(-24)/2,-3.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul_div_multiple,Berechnen Sie 1/(-12)*-4*-15.,-5.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul_div_multiple,(-3)/((-18)/4)*-3,-2.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul_div_multiple,Was ist -1*(-6)/(-12)*2?,-1.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,mul_div_multiple,Bewerten Sie (-1)/((-8)/(48/(-3))).,-2.0,,Mathematics Dataset (Google DeepMind)
Arithmetic,conversion,"Wie viele Milliliter sind in 910,4399 Litern enthalten?",910439.9,,Mathematics Dataset (Google DeepMind)
Arithmetic,conversion,Was sind fünfundfünfzig halbe Kilometer in Metern?,27500.0,,Mathematics Dataset (Google DeepMind)
