category,subcategory,question,answer,reasoning,source
Geometry,geometry,"Wie hoch sind die Kosten für den Bau eines Zauns um ein quadratisches Grundstück mit einer Fläche von 289 Quadratfuß, wenn der Preis pro Fuß für den Bau des Zauns rs. 59 ?",4012.0,"import math
n0 = 289.0
n1 = 59.0
t0 = math.sqrt(max(0, n0))
t1 = 4 * t0
answer = n1 * t1
print(answer)",MathQA_Geometry
Geometry,geometry,"Das Verhältnis zwischen dem Umfang und der Breite eines Rechtecks ist 5 : 1. Wenn die Fläche des Rechtecks 150 cm² beträgt, wie lang ist dann das Rechteck?",15.0,"n0 = 5.0
n1 = 1.0
n2 = 150.0

answer = n2 / 10.0
print(answer)",MathQA_Geometry
Geometry,geometry,Die Seiten eines Rechtecks stehen im Verhältnis 4 : 3 und seine Fläche beträgt 972 m². Ermitteln Sie den Umfang des Rechtecks.,126.0,"import math
n0 = 4.0
n1 = 3.0
n2 = 972.0
t0 = n0 * n1
t1 = n2 / t0
t2 = math.sqrt(max(0, t1))
t3 = n0 * t2
t4 = n1 * t2
answer = 2 * (t3 + t4)  # perimetere of rectangle
print(answer)",MathQA_Geometry
Geometry,geometry,"Ein Schneider schneidet 6 Fuß von den gegenüberliegenden Kanten eines quadratischen Stoffstücks ab, und 5 Fuß von den anderen beiden Kanten. Wenn 120 Quadratfuß Stoff übrig bleiben, wie lang war dann eine Seite des ursprünglichen Stoffstücks?",22.0,"import math
n0 = 6.0
n1 = 5.0
n2 = 120.0
t0 = n0 * 2.0
t1 = n1 * 2.0
t2 = t0 + t1
t3 = t1 * t0
t4 = t2**min(2.0, 5)
t5 = n2 - t3
t6 = t5 * n0
t7 = t6 + t4
t8 = math.sqrt(max(0, t7))
t9 = t2 + t8
answer = t9 / 2.0
print(answer)",MathQA_Geometry
Geometry,geometry,"eine kreisförmige matte mit einem durchmesser von 18 zoll liegt auf einer quadratischen tischplatte, deren seiten jeweils 24 zoll lang sind. welche der folgenden aussagen kommt dem von der matte bedeckten teil der tischplatte am nächsten?",0.375,"n0 = 18.0
n1 = 24.0
t0 = n0 / 2.0
answer = t0 / n1
print(answer)",MathQA_Geometry
Geometry,geometry,Die Diagonalen eines Rhombus sind 12 cm und 15 cm. Wie groß ist seine Fläche?,90.0,"n0 = 12.0
n1 = 15.0

answer = n0 * n1 / 2
print(answer)",MathQA_Geometry
Geometry,geometry,"Wenn n die kleinste ganze Zahl ist, bei der 432 mal n das Quadrat einer ganzen Zahl ist, welchen Wert hat dann n?",3.0,"n0 = 432.0
t0 = n0 / 2.0
t1 = t0 / 2.0
t2 = t1 / 2.0
t3 = t2 / 2.0
t4 = t3 / 3.0
answer = t4 / 3.0
print(answer)",MathQA_Geometry
Geometry,geometry,"das verhältnis zwischen länge und länge eines rechtecks ist 25 : 16. die fläche des rechtecks ist die gleiche wie ein quadrat, dessen seite 200 ist. finden sie die länge und die breite des rechtecks ?",160250.0,"import math
n0 = 25.0
n1 = 16.0
n2 = 200.0
t0 = n0 * n1
t1 = n2**2
t2 = t1 / t0
t3 = math.sqrt(max(0, t2))
t4 = n1 * t3
t5 = n0 * t3
t6 = t4 * 1000.0
answer = t6 + t5
print(answer)",MathQA_Geometry
Geometry,geometry,"ein perfektes Quadrat ist definiert als das Quadrat einer ganzen Zahl und ein perfekter Würfel ist definiert als der Würfel einer ganzen Zahl. Wie viele positive ganze Zahlen n gibt es, so dass n kleiner als 100.000 ist und gleichzeitig n ein perfektes Quadrat und ein perfekter Würfel ist?",6.0,"n0 = 100000.0
t0 = 2.0 + 4.0
answer = t0 / 1.0
print(answer)",MathQA_Geometry
Geometry,geometry,Bei der Messung der Seiten eines Rechtecks wird eine Seite um 12 % zu viel und die andere um 5 % zu wenig gemessen. Finden Sie den prozentualen Fehler in der aus diesen Messungen berechneten Fläche.,6.4,"n0 = 12.0
n1 = 5.0
t0 = n0 * n1
t1 = n0 - n1
t2 = t0 / 100.0
answer = t1 - t2
print(answer)",MathQA_Geometry
