category,subcategory,question,answer,reasoning,source
Word Problems,add_sub,"Einige Insekten, die Blattläuse genannt werden, befallen einen großen Bauernhof. Als Reaktion darauf setzt der Bauer Marienkäfer auf den Feldern aus. Es gibt 12170 Marienkäfer mit Flecken und 54912 Marienkäfer ohne Flecken. Wie viele Marienkäfer gibt es insgesamt?",67082.0,X = 12170.0 + 54912.0,AddSub
Word Problems,add_sub,Letzte Woche hatte Tim 12 Dollar und Keith hatte 36 Dollar. Tim hat am Wochenende Autos gewaschen und hat jetzt 75 Dollar. Wie viel Geld hat Tim beim Autowaschen verdient?,63.0,12 + X = 75,AddSub
Word Problems,add_sub,"Nicole hat eine orangefarbene Raupe und eine grüne Raupe in ihrem Garten gefunden. Die grüne Raupe war 3 Zoll lang und die orangefarbene Raupe war 1,1666666666666667 Zoll lang. Wie viel länger war die grüne Raupe als die orange Raupe?",1.833333333333333,X = 3.0 - 1.1666666666666667,AddSub
Word Problems,add_sub,"In einer Woche trank die Familie von Mitch 0,5 Tüten normale Milch und 0,1 Tüten Sojamilch. Wie viel Milch haben sie insgesamt getrunken?",0.6000000000000001,X = 0.5 + 0.1,AddSub
Word Problems,add_sub,"Alyssa hat in diesem Jahr 11 Fußballspiele besucht, aber 12 verpasst. Letztes Jahr war sie bei 13 Spielen und plant, nächstes Jahr bei 15 Spielen dabei zu sein. Zu wie vielen Fußballspielen wird Alyssa insgesamt gehen?",39.0,X = 11 + 13 + 15,AddSub
Word Problems,add_sub,"Ein Mobilfunkunternehmen hat insgesamt 7422 Kunden in der ganzen Welt. Wenn 723 seiner Kunden in den Vereinigten Staaten leben, wie viele seiner Kunden leben dann in anderen Ländern?",6699.0,X = 7422.0 - 723.0,AddSub
Word Problems,add_sub,"Jason hat 18 Bücher, von denen er 9 gelesen hat. Mary hat 42 Bücher. Wie viele Bücher haben sie zusammen?",60.0,X = 18 + 42,AddSub
Word Problems,add_sub,Sara hatte 100 Pfennige und 783 Vierteldollar auf ihrer Bank. Ihr Vater lieh sich 271 Vierteldollar von Sara. Wie viele Münzen hat sie jetzt?,512.0,X = 783 - 271,AddSub
Word Problems,add_sub,"In der Mathematikklasse von Herrn Olsen erhielten 0,7 der Schüler eine Eins und 0,2 eine Zwei. Welcher Anteil der Schüler erhielt entweder eine Eins oder eine Zwei?",0.9,X = 0.7 + 0.2,AddSub
Word Problems,add_sub,Maria backt einen Kuchen. Das Rezept sieht 7 Tassen Mehl und 3 Tassen Zucker vor. Sie hat bereits 2 Tassen Mehl hineingegeben. Wie viele Tassen Mehl muss sie noch hinzufügen?,5.0,X = 7 - 2,AddSub
Word Problems,add_sub,Es gibt 48 Radiergummis in der Schublade und 30 Radiergummis auf dem Schreibtisch. Alyssa hat 39 Radiergummis und 45 Lineale auf den Schreibtisch gelegt. Wie viele Radiergummis sind jetzt insgesamt vorhanden?,117.0,X = 48 + 30 + 39,AddSub
Word Problems,add_sub,Sandys Hündin hatte 8 Welpen und 4 davon hatten Flecken. Sie gab 4 an ihre Freunde weiter. Wie viele Welpen hat sie jetzt?,4.0,X = 8 - 4,AddSub
Word Problems,add_sub,"Irwins Familie machte einen Campingausflug in die Berge. Am ersten Tag wanderten sie von ihrem Auto zum Campingplatz. Zuerst wanderten sie 0,2 Meilen vom Auto zu einem Bach und 0,4 Meilen vom Bach zu einer Wiese. Dann wanderten sie 0,1 Meile von der Wiese zum Campingplatz. Wie viele Meilen ist Irwins Familie insgesamt gewandert?",0.7000000000000001,X = 0.2 + 0.4 + 0.1,AddSub
Word Problems,add_sub,Jedes der 6048 Lämmer von Bauer Cunningham ist entweder schwarz oder weiß. Es gibt 193 weiße Lämmer. Wie viele von Farmer Cunninghams Lämmern sind schwarz?,5855.0,X = 6048.0 - 193.0,AddSub
Word Problems,add_sub,Sam hat 86 gelbe und 20 grüne Murmeln. Joan hat 25 von Sams gelben Murmeln genommen. Wie viele gelbe Murmeln hat Sam jetzt?,61.0,X = 86 - 25,AddSub
Word Problems,add_sub,"Der Milford Lake war ursprünglich blau, weil er nur 809 Algenpflanzen hatte. Jetzt gibt es 3263 Algenpflanzen, und der See ist grün geworden. Wie viele Algenpflanzen gibt es jetzt im Milford Lake?",2454.0,X = 3263.0 - 809.0,AddSub
Word Problems,add_sub,"Mike hatte 34 Pfirsiche in seiner Obstschale am Straßenrand. Er ging in den Obstgarten und pflückte Pfirsiche, um sich einzudecken. Es sind jetzt 86 Pfirsiche. Wie viele hat er gepflückt?",52.0,X = 86 - 34,AddSub
Word Problems,add_sub,Mary hatte 21 Groschen und 38 Pfennige in ihrer Bank. Ihr Vater lieh sich 18 Pfennige von Mary. Wie viele Pfennige hat sie jetzt?,20.0,X = 38 - 18,AddSub
Word Problems,add_sub,Jason hat 676 Pokemon-Karten. Alyssa hat 224 von Jasons Pokemon-Karten gekauft. Wie viele Pokemon-Karten hat Jason jetzt?,452.0,X = 676 - 224,AddSub
Word Problems,add_sub,Jason hat 49 Muscheln und 48 Seesterne am Strand gefunden. Er gab 13 der Muscheln an Tim weiter. Wie viele Muscheln hat Jason jetzt?,36.0,X = 49 - 13,AddSub
Word Problems,add_sub,"Joan hatte 695 Pokemon-Karten, von denen 6 zerrissen waren. Sara kaufte 133 von Joans Pokemon-Karten. Wie viele Pokemon-Karten hat Joan jetzt?",562.0,X = 695 - 133,AddSub
Word Problems,add_sub,Alyssa hat 25 Limetten und Mike 32 Limetten gepflückt. Tom pflückte 12 Pflaumen. Wie viele Limetten wurden insgesamt gepflückt?,57.0,X = 25 + 32,AddSub
Word Problems,add_sub,"Sally hat 9 Muscheln gefunden, Tom hat 7 Muscheln gefunden, und Jessica hat 5 Muscheln am Strand gefunden. Wie viele Muscheln haben sie zusammen gefunden?",21.0,X = 9 + 7 + 5,AddSub
Word Problems,add_sub,Sara hat 45 Birnen gepflückt und Sally hat 11 Birnen vom Birnbaum gepflückt. Wie viele Birnen wurden insgesamt gepflückt?,56.0,X = 45 + 11,AddSub
Word Problems,add_sub,"Mike hat 7 Äpfel gepflückt, Nancy hat 3 Äpfel gepflückt, und Keith hat 6 Äpfel und 4 Birnen auf dem Bauernhof gepflückt. Wie viele Äpfel wurden insgesamt gepflückt?",16.0,X = 7 + 3 + 6,AddSub
Word Problems,add_sub,Sally hat 9 orangefarbene Luftballons und 4 blaue Luftballons. Sie hat 2 der orangefarbenen Ballons verloren. Wie viele orangefarbene Ballons hat Sally jetzt?,7.0,X = 9 - 2,AddSub
Word Problems,add_sub,"Fred hat 5 gelbe Luftballons, Sam hat 6 gelbe Luftballons und Mary hat 7 gelbe Luftballons. Die Luftballons kosten 5 Dollar. Wie viele gelbe Luftballons haben sie insgesamt?",18.0,X = 5 + 6 + 7,AddSub
Word Problems,add_sub,"Logan hat während eines Schneesturms jeden Tag den Schneefall aufgezeichnet. Er verzeichnete 0,3333333333333333 Zentimeter am Mittwoch, 0,3333333333333333 Zentimeter am Donnerstag und 0,2222222222222222 Zentimeter am Freitag. Wie viele Zentimeter Schnee hat Logan insgesamt aufgezeichnet?",0.8888888888888881,X = 0.3333333333333333 + 0.3333333333333333 + 0.2222222222222222,AddSub
Word Problems,add_sub,"Derzeit gibt es 22 Walnussbäume im Park. Parkarbeiter werden heute Walnussbäume pflanzen. Wenn die Arbeiter fertig sind, wird es 55 Walnussbäume im Park geben. Wie viele Walnussbäume haben die Arbeiter heute gepflanzt?",33.0,X = 55 - 22,AddSub
Word Problems,add_sub,"Sally hat insgesamt 12,32 Dollar für Pfirsiche bezahlt, nach einem 3-Dollar-Gutschein, und 11,54 Dollar für Kirschen. Wie viel Geld hat Sally insgesamt ausgegeben?",23.86,X = 12.32 + 11.54,AddSub
Word Problems,add_sub,"Mike fand 6 Muscheln und 4 Seesterne, aber 4 der Muscheln waren zerbrochen. Wie viele unzerbrochene Muscheln hat Mike gefunden?",2.0,X = 6 - 4,AddSub
Word Problems,add_sub,Es waren 6 Rosen in der Vase. Mary hat einige Rosen aus ihrem Blumengarten geschnitten. Jetzt befinden sich 16 Rosen in der Vase. Wie viele Rosen hat sie abgeschnitten?,10.0,X = 16 - 6,AddSub
Word Problems,add_sub,Sandy hat 51 Kürbisse angebaut. Mike hat 23 Kürbisse angebaut. Wie viele Kürbisse haben sie insgesamt angebaut?,74.0,X = 51 + 23,AddSub
Word Problems,add_sub,"Kelly hat 0,1 Pfund Erdnüsse und 0,4 Pfund Rosinen gekauft. Wie viele Pfund Snacks hat sie insgesamt gekauft?",0.5,X = 0.1 + 0.4,AddSub
Word Problems,add_sub,"Während einer Schulaufführung bediente Jona die Snackbar. Er servierte 0,25 Krüge Limonade in der ersten Pause, 0,4166666666666667 Krüge in der zweiten und 0,25 Krüge in der dritten Pause. Wie viele Krüge Limonade hat Jona insgesamt ausgeschenkt?",0.916666666666666,X = 0.25 + 0.4166666666666667 + 0.25,AddSub
Word Problems,add_sub,Joan hat 79 Muscheln am Strand gefunden und Mike 63 Muscheln geschenkt. Wie viele Muscheln hat sie jetzt?,16.0,X = 79 - 63,AddSub
Word Problems,add_sub,"Tom kaufte ein Skateboard für $ 9,46 und gab $ 9,56 für Murmeln aus. Tom gab auch 14,50 Dollar für Shorts aus. Wie viel hat Tom insgesamt für Spielzeug ausgegeben?",19.02,X = 9.46 + 9.56,AddSub
Word Problems,add_sub,"Mike hat 8 orangefarbene Murmeln, er hat Sam 4 der Murmeln gegeben. Wie viele orangefarbene Murmeln hat er jetzt?",4.0,X = 8 - 4,AddSub
Word Problems,add_sub,Alyssa pflückte 17 Pflaumen und Jason pflückte 10 Pflaumen. Melanie pflückte 35 Birnen. Wie viele Pflaumen wurden insgesamt gepflückt?,27.0,X = 17 + 10,AddSub
Word Problems,add_sub,Jessica backt einen Kuchen. Das Rezept sieht 8 Tassen Mehl und 2 Tassen Zucker vor. Sie hat bereits 4 Tassen Mehl hineingegeben. Wie viele Tassen Mehl muss sie noch hinzufügen?,4.0,X = 8 - 4,AddSub
Word Problems,add_sub,"Dan hat 56 Muscheln am Strand gefunden, er hat Jessica einige seiner Muscheln gegeben. Er hat 22 Muscheln. Wie viele Muscheln hat er Jessica geschenkt?",34.0,56 - X = 22,AddSub
Word Problems,add_sub,"Karen fügte 0,25 Tassen Walnüsse zu einer Charge von Studentenfutter hinzu. Später fügte sie 0,25 Tassen Mandeln hinzu. Wie viele Tassen Nüsse hat Karen insgesamt in die Studentenfuttermischung gegeben?",0.5,X = 0.25 + 0.25,AddSub
Word Problems,add_sub,Die Familie Abe ist von den Bahamas nach Japan umgezogen und hat daher ihr Geld in japanische Yen umgetauscht. Ihr Girokonto hat jetzt 6359 Yen und ihr Sparkonto hat jetzt 3485 Yen. Wie viele Yen haben sie nun?,9844.0,X = 6359.0 + 3485.0,AddSub
Word Problems,add_sub,"Jason ging am Samstag ins Einkaufszentrum, um Kleidung zu kaufen. Er gab 14,28 $ für Shorts und 4,74 $ für eine Jacke aus. Wie viel Geld hat Jason insgesamt für Kleidung ausgegeben?",19.02,X = 14.28 + 4.74,AddSub
Word Problems,add_sub,"Derzeit gibt es 41 kurze und 44 hohe Bäume im Park. Die Parkarbeiter werden heute 57 kurze Bäume pflanzen. Wie viele kurze Bäume wird der Park haben, wenn die Arbeiter fertig sind?",98.0,X = 41 + 57,AddSub
Word Problems,add_sub,"Eine Schreinerin kaufte ein Stück Holz, das 0,41 Meter lang war. Dann sägt sie 0,33 Meter vom Ende ab. Wie lang ist das Stück Holz jetzt?",0.08,X = 0.41 - 0.33,AddSub
Word Problems,add_sub,"In der Hoffnung, zur Verkäuferin des Monats gekürt zu werden, rief Rosa letzte Woche die Namen von 10,2 Seiten des Telefonbuchs an. Diese Woche rief sie die Personen an, die auf weiteren 8,6 Seiten desselben Telefonbuchs aufgeführt waren. Wie viele Seiten an Personen hat Rosa insgesamt angerufen?",18.8,X = 10.2 + 8.6,AddSub
Word Problems,add_sub,Letzte Woche hatte Tom 74 Dollar. Am Wochenende hat er Autos gewaschen und hat jetzt 86 Dollar. Wie viel Geld hat er mit dem Waschen von Autos verdient?,12.0,74 + X = 86,AddSub
Word Problems,add_sub,"Letzten Samstag ist Spencer durch die ganze Stadt gelaufen, um Besorgungen zu machen. Zuerst ging er 0,3 Meilen von seinem Haus zur Bibliothek und 0,1 Meilen von der Bibliothek zum Postamt. Dann ging er 0,4 Meilen vom Postamt zurück nach Hause. Wie viele Meilen ist Spencer insgesamt gelaufen?",0.8,X = 0.3 + 0.1 + 0.4,AddSub
Word Problems,add_sub,"Stanley ist 0,4 Meilen gelaufen und 0,2 Meilen gewandert. Wie viel weiter ist Stanley gelaufen als gegangen?",0.2,X = 0.4 - 0.2,AddSub
Word Problems,add_sub,Tims Katze hat Kätzchen bekommen. Er gab 3 an Jessica und 6 an Sara. Jetzt hat er 9 Kätzchen. Wie viele Kätzchen hatte er zu Beginn?,18.0,X = 3 + 6 + 9,AddSub
Word Problems,add_sub,Es gibt 48 Bleistifte und 40 Scheren in der Schublade. Joan hat 29 Bleistifte in die Schublade gelegt. Wie viele Bleistifte sind nun insgesamt vorhanden?,77.0,X = 48 + 29,AddSub
Word Problems,add_sub,"Roadster 's Paving Company hat 10 Tonnen Zement für die Straße von Lexi und 5,1 Tonnen Zement für die Straße von Tess verwendet. Wie viel Zement hat Roadster 's Paving Company insgesamt verbraucht?",15.1,X = 10.0 + 5.1,AddSub
Word Problems,add_sub,"Fred hat 709 grüne Luftballons, er hat Sandy 221 der Ballons geschenkt. Wie viele grüne Ballons hat er jetzt?",488.0,X = 709 - 221,AddSub
Word Problems,add_sub,"Sorgfältig nach einem Rezept hat Kenny genau 0,16666666666666666 Tassen Öl und 1,1666666666666667 Tassen Wasser verwendet. Wie viele Tassen Flüssigkeit hat Kenny insgesamt verwendet?",1.333333333333333,X = 0.16666666666666666 + 1.1666666666666667,AddSub
