category,subcategory,question,answer,reasoning,source
Word Problems,add_sub,Joan found 70 seashells on the beach . she gave Sam some of her seashells . She has 27 seashell . How many seashells did she give to Sam ? ,43.0,X = 70 - 27,AddSub
Word Problems,add_sub,There were 28 bales of hay in the barn . Tim stacked bales in the barn today . There are now 54 bales of hay in the barn . How many bales did he store in the barn ? ,26.0,X = 54 - 28,AddSub
Word Problems,add_sub,Mary is baking a cake . The recipe wants 8 cups of flour . She already put in 2 cups . How many cups does she need to add ? ,6.0,X = 8 - 2,AddSub
Word Problems,add_sub,Sara 's high school played 12 basketball games this year . The team won most of their games . They were defeated during 4 games . How many games did they win ? ,8.0,X = 12 - 4,AddSub
Word Problems,add_sub,There are 22 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be 55 walnut trees in the park . How many walnut trees did the workers plant today ? ,33.0,X = 55 - 22,AddSub
Word Problems,add_sub,Mike had 34 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now 86 peaches . how many did he pick ? ,52.0,X = 86 - 34,AddSub
Word Problems,add_sub,There were 6 roses in the vase . Mary cut some roses from her flower garden . There are now 16 roses in the vase . How many roses did she cut ? ,10.0,X = 16 - 6,AddSub
Word Problems,add_sub,Joan went to 4 football games this year . She went to 9 games last year . How many football games did Joan go to in all ? ,13.0,X = 4 + 9,AddSub
Word Problems,add_sub,Tom has 9 yellow balloons Sara has 8 yellow balloons . How many yellow balloons do they have in total ? ,17.0,X = 9 + 8,AddSub
Word Problems,add_sub,There are 4 walnut trees currently in the park . Park workers will plant 6 walnut trees today . How many walnut trees will the park have when the workers are finished ? ,10.0,X = 4 + 6,AddSub
Word Problems,add_sub,Sam had 9 dimes in his bank . His dad gave him 7 dimes . How many dimes does Sam have now ? ,16.0,X = 9 + 7,AddSub
Word Problems,add_sub,Alyssa 's dog had puppies . She gave 7 to her friends . She now has 5 puppies . How many puppies did she have to start with ? ,12.0,X = 7 + 5,AddSub
Word Problems,add_sub,A restaurant served 9 pizzas during lunch and 6 during dinner today . How many pizzas were served today ? ,15.0,X = 9 + 6 ,AddSub
Word Problems,add_sub,There are 2 pencils in the drawer . Tim placed 3 pencils in the drawer . How many pencils are now there in total ? ,5.0,X = 2 + 3,AddSub
Word Problems,add_sub,Joan found 6 seashells and Jessica found 8 seashells on the beach . How many seashells did they find together ? ,14.0,X = 6 + 8,AddSub
Word Problems,add_sub,Sandy grew 6 carrots . Sam grew 3 carrots . How many carrots did they grow in total ? ,9.0,X = 6 + 3,AddSub
Word Problems,add_sub,Benny picked 2 apples and Dan picked 9 apples from the apple tree . How many apples were picked in total ? ,11.0,X = 2 + 9,AddSub
Word Problems,add_sub,"Sally found 9 seashells , Tom found 7 seashells , and Jessica found 5 seashells on the beach . How many seashells did they find together ? ",21.0,X = 9 + 7 + 5,AddSub
Word Problems,add_sub,Tim 's cat had kittens . He gave 3 to Jessica and 6 to Sara . He now has 9 kittens . How many kittens did he have to start with ? ,18.0,X = 3 + 6 + 9,AddSub
Word Problems,add_sub,"Joan has 9 blue balloons , Sally has 5 blue balloons , and Jessica has 2 blue balloons . How many blue balloons do they have in total ? ",16.0,X = 9 + 5 + 2,AddSub
Word Problems,add_sub,Melanie had 7 dimes in her bank . Her dad gave her 8 dimes and her mother gave her 4 dimes . How many dimes does Melanie have now ? ,19.0,X = 7 + 8 + 4,AddSub
Word Problems,add_sub,A restaurant served 5 cakes during lunch and 6 during dinner today . The restaurant served 3 cakes yesterday . How many cakes were served in total ? ,14.0,X = 5 + 6 + 3,AddSub
Word Problems,add_sub,"Melanie picked 4 plums , Dan picked 9 plums , and Sally picked 3 plums from the plum tree . How many plums were picked in total ? ",16.0,X = 4 + 9 + 3,AddSub
Word Problems,add_sub,There are 7 dogwood trees currently in the park . Park workers will plant 3 dogwood trees today and 2 dogwood trees tomorrow . How many dogwood trees will the park have when the workers are finished ? ,12.0,X = 7 + 3 + 2,AddSub
Word Problems,add_sub,"Sara grew 4 onions , Sally grew 5 onions , and Fred grew 9 onions . How many onions did they grow in all ? ",18.0,X = 4 + 5 + 9,AddSub
Word Problems,add_sub,Jason has 43 blue and 16 red marbles . Tom has 24 blue marbles . How many blue marbles do they have in all ? ,67.0,X = 43 + 24,AddSub
Word Problems,add_sub,Sam found 18 seashells and Mary found 47 seashells on the beach . How many seashells did they find together ? ,65.0,X = 18 + 47,AddSub
Word Problems,add_sub,Jason grew 23 watermelons and 18 turnips . Nancy grew 28 watermelons . How many watermelons did they grow in total ? ,51.0,X = 23 + 28,AddSub
Word Problems,add_sub,There are 11 rulers and 34 crayons in the drawer . Tim placed 14 rulers in the drawer . How many rulers are now there in all ? ,25.0,X = 11 + 14,AddSub
Word Problems,add_sub,Sara picked 45 pears and Sally picked 11 pears from the pear tree . How many pears were picked in total ? ,56.0,X = 45 + 11,AddSub
Word Problems,add_sub,Keith has 20 books . Jason has 21 books . How many books do they have together ? ,41.0,X = 20 + 21,AddSub
Word Problems,add_sub,Jason had 49 quarters in his bank . His dad gave him 25 quarters . How many quarters does he have now ? ,74.0,X = 49 + 25,AddSub
Word Problems,add_sub,"Tom found 15 seashells and Fred found 43 seashells on the beach . When they cleaned them , they discovered that 29 were cracked . How many seashells did they find together ? ",58.0,X = 15 + 43,AddSub
Word Problems,add_sub,Sara has 31 red and 15 green balloons . Sandy has 24 red balloons . How many red balloons do they have in total ? ,55.0,X = 31 + 24,AddSub
